paper_id,coalesced_cites
DP100,1
DP10001,20
DP10002,2
DP10003,19
DP10004,10
DP10005,41
DP10006,3
DP10007,6
DP10008,3
DP10009,9
DP1001,2
DP10010,NA
DP10011,31
DP10012,1
DP10013,139
DP10014,30
DP10015,2
DP10016,1
DP10017,11
DP10018,NA
DP10019,3
DP1002,6
DP10020,2
DP10021,0
DP10022,1
DP10023,NA
DP10024,65
DP10025,123
DP10026,67
DP10027,5
DP10028,4
DP10029,46
DP1003,8
DP10030,3
DP10031,18
DP10032,2
DP10033,12
DP10034,8
DP10035,12
DP10036,5
DP10037,NA
DP10038,49
DP10039,5
DP1004,8
DP10041,13
DP10042,4
DP10043,1
DP10044,64
DP10045,2
DP10046,53
DP10047,7
DP10048,14
DP10049,16
DP10050,24
DP10051,4
DP10052,3
DP10053,8
DP10054,3
DP10055,0
DP10056,NA
DP10057,17
DP10058,119
DP10059,8
DP10060,43
DP10061,6
DP10062,2
DP10063,58
DP10064,1
DP10065,9
DP10066,41
DP10067,7
DP10068,15
DP10069,21
DP1007,3
DP10070,7
DP10071,32
DP10072,25
DP10073,7
DP10074,0
DP10075,69
DP10076,9
DP10077,9
DP10078,51
DP10079,5
DP1008,8
DP10080,8
DP10081,1
DP10082,0
DP10083,1
DP10084,6
DP10085,0
DP10086,5
DP10087,3
DP10088,1
DP10089,18
DP10090,NA
DP10091,4
DP10092,24
DP10093,5
DP10094,1
DP10095,2
DP10096,2
DP10097,14
DP10098,NA
DP10099,14
DP1010,3
DP10100,13
DP10101,7
DP10102,3
DP10103,21
DP10104,1
DP10105,79
DP10106,2
DP10107,17
DP10108,137
DP10109,1
DP1011,2
DP10110,4
DP10111,0
DP10112,NA
DP10113,5
DP10114,19
DP10115,7
DP10116,16
DP10117,11
DP10118,10
DP10119,3
DP1012,1
DP10120,55
DP10121,14
DP10122,28
DP10123,1
DP10124,2
DP10125,6
DP10126,8
DP10127,7
DP10128,3
DP10129,7
DP1013,20
DP10130,11
DP10131,19
DP10132,2
DP10133,14
DP10134,11
DP10135,1
DP10136,11
DP10137,4
DP10138,16
DP10139,6
DP1014,1
DP10140,6
DP10141,NA
DP10142,26
DP10143,5
DP10144,3
DP10145,7
DP10146,7
DP10147,77
DP10148,3
DP10149,5
DP1015,8
DP10150,2
DP10151,3
DP10152,35
DP10153,3
DP10154,0
DP10155,4
DP10156,6
DP10157,55
DP10158,NA
DP10159,10
DP1016,0
DP10160,2
DP10161,66
DP10162,25
DP10163,25
DP10164,6
DP10165,13
DP10166,42
DP10167,5
DP10168,9
DP10169,3
DP1017,4
DP10170,6
DP10171,1
DP10172,4
DP10173,NA
DP10174,32
DP10175,NA
DP10176,7
DP10177,2
DP10178,10
DP10179,NA
DP1018,2
DP10180,3
DP10181,11
DP10182,2
DP10183,45
DP10184,5
DP10185,14
DP10186,0
DP10187,1
DP10188,4
DP10189,26
DP1019,2
DP10190,2
DP10191,1
DP10192,1
DP10193,7
DP10194,29
DP10195,11
DP10196,3
DP10197,3
DP10198,5
DP10199,2
DP102,NA
DP1020,3
DP10200,4
DP10201,7
DP10202,8
DP10203,21
DP10204,3
DP10205,5
DP10206,32
DP10207,2
DP10208,71
DP10209,19
DP1021,2
DP10210,27
DP10211,19
DP10212,11
DP10213,3
DP10214,6
DP10215,4
DP10216,9
DP10217,6
DP10218,3
DP10219,3
DP1022,4
DP10220,4
DP10223,36
DP10224,107
DP10225,NA
DP10227,167
DP10228,44
DP10229,NA
DP10230,48
DP10231,20
DP10232,17
DP10233,6
DP10234,15
DP10235,10
DP10236,2
DP10237,7
DP10238,4
DP10239,0
DP1024,3
DP10240,NA
DP10241,1
DP10242,8
DP10243,2
DP10244,41
DP10245,12
DP10246,23
DP10247,3
DP10248,24
DP10249,NA
DP1025,3
DP10250,NA
DP10251,12
DP10252,1
DP10253,2
DP10254,4
DP10255,6
DP10256,1
DP10257,7
DP10258,NA
DP10259,28
DP10260,28
DP10261,2
DP10262,42
DP10263,16
DP10264,6
DP10265,6
DP10266,1
DP10267,2
DP10269,1
DP1027,2
DP10270,NA
DP10271,6
DP10272,8
DP10273,2
DP10274,8
DP10275,5
DP10276,21
DP10277,0
DP10278,1
DP10279,1
DP1028,9
DP10280,19
DP10281,23
DP10282,7
DP10283,8
DP10284,2
DP10285,2
DP10286,1
DP10287,4
DP10288,2
DP10289,5
DP1029,11
DP10290,9
DP10291,26
DP10292,6
DP10293,0
DP10294,28
DP10295,1
DP10296,13
DP10297,4
DP10298,3
DP10299,1
DP103,6
DP1030,1
DP10300,32
DP10301,28
DP10302,73
DP10303,12
DP10304,20
DP10305,29
DP10306,17
DP10307,4
DP10308,4
DP10309,8
DP1031,5
DP10310,53
DP10311,17
DP10312,0
DP10313,1
DP10314,95
DP10315,0
DP10316,26
DP10317,NA
DP10318,4
DP10319,2
DP10320,1
DP10321,8
DP10322,19
DP10323,3
DP10324,5
DP10325,156
DP10326,19
DP10327,0
DP10328,2
DP10329,13
DP1033,6
DP10330,1
DP10331,NA
DP10332,2
DP10333,3
DP10334,34
DP10335,1
DP10336,12
DP10337,3
DP10338,180
DP10339,55
DP10340,4
DP10341,6
DP10342,11
DP10343,NA
DP10344,9
DP10345,4
DP10346,2
DP10347,32
DP10348,13
DP10349,NA
DP1035,1
DP10350,145
DP10351,25
DP10352,14
DP10353,18
DP10354,43
DP10355,3
DP10356,9
DP10357,24
DP10358,61
DP10359,5
DP1036,7
DP10360,95
DP10361,11
DP10362,4
DP10363,1
DP10364,1
DP10365,28
DP10366,40
DP10367,NA
DP10368,131
DP10369,11
DP1037,1
DP10370,34
DP10371,18
DP10372,35
DP10373,2
DP10374,2
DP10375,86
DP10376,25
DP10377,NA
DP10378,2
DP10379,7
DP1038,6
DP10380,63
DP10381,3
DP10382,3
DP10383,1
DP10384,1
DP10385,0
DP10386,1
DP10387,25
DP10388,21
DP10389,3
DP1039,23
DP10390,NA
DP10391,2
DP10392,1
DP10393,108
DP10394,0
DP10395,13
DP10396,34
DP10397,11
DP10398,10
DP10399,9
DP104,2
DP10400,3
DP10401,4
DP10402,6
DP10403,17
DP10404,47
DP10405,21
DP10406,23
DP10407,95
DP10408,2
DP10409,4
DP1041,15
DP10410,5
DP10411,6
DP10412,2
DP10413,19
DP10414,6
DP10415,4
DP10416,1
DP10417,5
DP10418,2
DP10419,2
DP1042,48
DP10420,6
DP10421,1
DP10422,7
DP10423,21
DP10424,51
DP10425,25
DP10426,25
DP10427,110
DP10428,16
DP10429,1
DP1043,2
DP10430,6
DP10431,7
DP10432,NA
DP10433,1
DP10434,4
DP10435,2
DP10436,6
DP10437,2
DP10438,NA
DP10439,3
DP1044,1
DP10440,1
DP10441,0
DP10442,12
DP10443,612
DP10444,12
DP10445,7
DP10446,1
DP10447,NA
DP10448,NA
DP10449,42
DP1045,4
DP10450,79
DP10451,27
DP10452,4
DP10453,22
DP10454,10
DP10455,7
DP10456,1
DP10457,1
DP10458,1
DP10459,7
DP1046,3
DP10460,3
DP10461,47
DP10462,9
DP10463,5
DP10464,29
DP10465,0
DP10466,2
DP10467,6
DP10468,1
DP10469,4
DP10470,0
DP10471,0
DP10472,1
DP10473,11
DP10474,NA
DP10475,15
DP10476,3
DP10477,151
DP10478,55
DP10479,19
DP1048,8
DP10480,32
DP10481,10
DP10482,2
DP10483,0
DP10484,4
DP10485,0
DP10486,1
DP10487,27
DP10488,4
DP10489,13
DP1049,5
DP10490,5
DP10491,18
DP10492,1
DP10493,33
DP10494,9
DP10495,12
DP10496,16
DP10497,3
DP10498,13
DP10499,9
DP10500,35
DP10501,5
DP10502,2
DP10503,22
DP10504,3
DP10505,NA
DP10506,80
DP10507,21
DP10508,10
DP10509,16
DP1051,287
DP10510,2
DP10511,48
DP10512,18
DP10513,19
DP10514,41
DP10515,26
DP10516,1
DP10517,18
DP10518,88
DP10519,1
DP1052,5
DP10520,5
DP10521,6
DP10522,18
DP10523,4
DP10524,2
DP10525,16
DP10526,22
DP10527,8
DP10528,30
DP10529,26
DP1053,2
DP10530,3
DP10531,3
DP10532,NA
DP10533,13
DP10534,4
DP10535,1
DP10536,1
DP10537,NA
DP10538,7
DP10539,47
DP1054,32
DP10540,35
DP10541,3
DP10542,6
DP10543,3
DP10544,34
DP10545,2
DP10546,4
DP10547,22
DP10548,47
DP10549,6
DP1055,48
DP10550,2
DP10551,44
DP10552,15
DP10553,9
DP10554,95
DP10555,31
DP10556,7
DP10557,3
DP10558,14
DP10559,1
DP1056,22
DP10560,40
DP10561,87
DP10562,0
DP10563,38
DP10564,27
DP10565,15
DP10566,8
DP10567,2
DP10568,30
DP10569,20
DP10570,5
DP10571,8
DP10572,NA
DP10573,NA
DP10574,NA
DP10575,6
DP10576,7
DP10577,0
DP10578,1
DP10579,NA
DP1058,23
DP10580,18
DP10581,4
DP10582,3
DP10583,32
DP10584,12
DP10585,24
DP10586,2
DP10587,62
DP10588,10
DP10589,13
DP1059,NA
DP10590,2
DP10591,812
DP10592,152
DP10593,7
DP10594,24
DP10595,10
DP10596,15
DP10597,1
DP10598,21
DP10599,3
DP1060,141
DP10600,18
DP10601,7
DP10602,8
DP10603,1
DP10604,78
DP10605,4
DP10606,3
DP10607,8
DP10608,4
DP10609,13
DP1061,8
DP10610,2
DP10611,4
DP10612,22
DP10613,10
DP10614,4
DP10615,34
DP10616,13
DP10617,5
DP10618,61
DP10619,5
DP10620,4
DP10621,37
DP10622,3
DP10623,4
DP10624,20
DP10625,2
DP10626,5
DP10627,7
DP10628,34
DP10629,14
DP10630,1
DP10631,10
DP10632,6
DP10633,21
DP10634,44
DP10635,17
DP10636,5
DP10637,30
DP10638,9
DP10639,3
DP1064,2
DP10640,11
DP10641,NA
DP10642,185
DP10643,NA
DP10644,46
DP10645,29
DP10646,1
DP10647,21
DP10648,NA
DP10649,1
DP1065,10
DP10650,1
DP10651,6
DP10652,16
DP10653,13
DP10654,17
DP10655,37
DP10656,29
DP10657,3
DP10658,15
DP10659,75
DP10660,1
DP10661,59
DP10662,NA
DP10663,19
DP10664,3
DP10665,1
DP10666,20
DP10667,110
DP10668,2
DP10669,11
DP10670,8
DP10671,3
DP10672,3
DP10673,NA
DP10674,11
DP10675,0
DP10676,7
DP10677,16
DP10678,15
DP10679,41
DP1068,2
DP10680,10
DP10681,14
DP10682,1
DP10683,59
DP10684,0
DP10685,20
DP10686,15
DP10687,0
DP10688,2
DP10689,14
DP1069,1
DP10690,4
DP10691,20
DP10692,22
DP10693,50
DP10694,14
DP10695,6
DP10696,1
DP10697,5
DP10698,3
DP10699,11
DP107,1
DP1070,3
DP10700,1
DP10701,7
DP10702,2
DP10703,64
DP10704,26
DP10705,6
DP10706,1
DP10707,4
DP10708,31
DP10709,3
DP1071,28
DP10710,5
DP10711,6
DP10712,3
DP10713,2
DP10714,21
DP10715,8
DP10716,36
DP10717,96
DP10718,17
DP10719,0
DP1072,15
DP10720,26
DP10721,6
DP10722,3
DP10723,2
DP10724,4
DP10725,3
DP10726,0
DP10727,7
DP10728,4
DP10729,16
DP1073,8
DP10730,54
DP10731,2
DP10732,21
DP10733,31
DP10734,0
DP10735,26
DP10736,1
DP10737,6
DP10738,16
DP10739,11
DP1074,3
DP10740,53
DP10741,90
DP10742,27
DP10743,19
DP10744,2
DP10745,10
DP10746,6
DP10747,6
DP10748,7
DP10749,1
DP1075,29
DP10750,17
DP10751,0
DP10752,11
DP10753,NA
DP10754,NA
DP10755,2
DP10756,5
DP10757,10
DP10758,7
DP10759,112
DP1076,13
DP10760,12
DP10761,3
DP10762,2
DP10763,36
DP10764,27
DP10765,1
DP10766,23
DP10767,11
DP10768,5
DP10769,5
DP1077,1
DP10770,2
DP10771,12
DP10772,19
DP10773,589
DP10774,2
DP10775,29
DP10776,NA
DP10777,13
DP10778,7
DP10779,2
DP10780,9
DP10781,45
DP10782,NA
DP10783,7
DP10784,6
DP10785,23
DP10786,18
DP10787,1
DP10788,12
DP10789,5
DP10790,4
DP10791,10
DP10792,7
DP10793,24
DP10794,29
DP10795,0
DP10796,5
DP10797,10
DP10798,9
DP10799,4
DP108,3
DP1080,76
DP10800,1
DP10801,4
DP10802,1
DP10803,17
DP10804,5
DP10805,8
DP10806,2
DP10807,21
DP10808,23
DP10809,2
DP1081,NA
DP10810,6
DP10811,37
DP10812,7
DP10813,2
DP10814,32
DP10815,0
DP10816,3
DP10817,17
DP10818,15
DP10819,NA
DP1082,1
DP10820,1
DP10821,4
DP10822,4
DP10823,0
DP10824,0
DP10825,4
DP10826,145
DP10827,1
DP10828,1
DP10829,319
DP10830,1
DP10831,4
DP10832,24
DP10833,9
DP10834,18
DP10835,8
DP10836,2
DP10837,39
DP10838,0
DP10839,15
DP10840,NA
DP10841,1
DP10842,5
DP10843,11
DP10844,5
DP10845,2
DP10846,100
DP10847,3
DP10848,6
DP10849,39
DP10850,12
DP10851,4
DP10852,3
DP10853,NA
DP10854,3
DP10855,10
DP10856,41
DP10857,11
DP10858,NA
DP10859,27
DP1086,10
DP10860,4
DP10861,4
DP10862,5
DP10863,NA
DP10864,1
DP10865,0
DP10866,1
DP10867,7
DP10868,3
DP10869,1
DP1087,5
DP10870,NA
DP10871,6
DP10872,4
DP10873,NA
DP10874,20
DP10875,10
DP10876,4
DP10877,3
DP10878,NA
DP10879,3
DP10880,0
DP10881,3
DP10882,NA
DP10883,6
DP10884,15
DP10885,NA
DP10886,3
DP10887,11
DP10888,5
DP10889,NA
DP1089,20
DP10890,1
DP10891,3
DP10892,1
DP10893,81
DP10894,3
DP10895,0
DP10896,10
DP10897,9
DP10898,33
DP10899,1
DP1090,14
DP10900,268
DP10901,2
DP10902,24
DP10903,1
DP10904,10
DP10905,77
DP10906,13
DP10907,16
DP10908,3
DP10909,100
DP1091,55
DP10910,3
DP10911,0
DP10912,1
DP10913,11
DP10914,NA
DP10915,7
DP10916,0
DP10917,3
DP10918,1
DP10919,13
DP1092,17
DP10920,0
DP10921,6
DP10922,1
DP10923,1
DP10924,88
DP10925,2
DP10926,36
DP10927,1
DP10928,24
DP10929,12
DP1093,15
DP10930,0
DP10931,7
DP10932,5
DP10933,55
DP10934,1
DP10935,7
DP10936,241
DP10937,13
DP10938,2
DP10939,3
DP1094,NA
DP10940,4
DP10941,4
DP10942,0
DP10943,NA
DP10944,4
DP10945,15
DP10946,11
DP10947,6
DP10948,8
DP10949,1
DP10950,8
DP10951,1
DP10952,3
DP10953,16
DP10954,7
DP10955,14
DP10956,13
DP10957,0
DP10958,39
DP10959,2
DP10960,6
DP10961,1
DP10962,67
DP10963,7
DP10964,3
DP10965,NA
DP10966,9
DP10967,19
DP10968,7
DP10969,1
DP1097,0
DP10970,6
DP10971,2
DP10972,22
DP10973,28
DP10974,NA
DP10975,10
DP10976,23
DP10977,10
DP10978,7
DP10979,8
DP1098,5
DP10980,8
DP10981,12
DP10982,9
DP10983,1
DP10984,3
DP10985,3
DP10986,4
DP10987,4
DP10988,3
DP10989,18
DP1099,3
DP10990,3
DP10991,33
DP10992,6
DP10993,12
DP10994,1
DP10995,10
DP10997,24
DP10998,5
DP10999,NA
DP110,1
DP1100,1
DP11000,NA
DP11001,4
DP11002,0
DP11003,NA
DP11004,5
DP11007,1
DP11008,54
DP11009,15
DP11010,6
DP11011,1
DP11012,14
DP11013,3
DP11014,0
DP11015,4
DP11016,9
DP11017,NA
DP11018,14
DP11019,0
DP11020,10
DP11021,4
DP11022,26
DP11023,81
DP11024,16
DP11025,5
DP11026,2
DP11027,20
DP11028,21
DP11029,NA
DP1103,37
DP11030,NA
DP11031,18
DP11032,5
DP11033,2
DP11034,16
DP11035,285
DP11036,13
DP11037,10
DP11038,272
DP11039,9
DP1104,4
DP11040,0
DP11041,8
DP11042,15
DP11043,53
DP11044,89
DP11045,26
DP11046,3
DP11047,87
DP11048,26
DP11049,14
DP11050,4
DP11051,3
DP11052,8
DP11053,16
DP11054,504
DP11055,27
DP11056,4
DP11057,9
DP11058,33
DP11059,91
DP1106,7
DP11060,8
DP11061,43
DP11062,2
DP11063,17
DP11064,6
DP11065,9
DP11066,69
DP11067,13
DP11068,143
DP11069,NA
DP1107,15
DP11070,11
DP11071,11
DP11072,24
DP11073,3
DP11074,1
DP11075,1
DP11076,2
DP11077,10
DP11078,34
DP11079,22
DP1108,4
DP11080,34
DP11081,4
DP11082,1
DP11083,14
DP11084,8
DP11085,11
DP11086,8
DP11087,9
DP11088,5
DP11089,92
DP1109,10
DP11090,NA
DP11091,13
DP11092,21
DP11093,69
DP11094,4
DP11095,29
DP11096,73
DP11097,23
DP11098,8
DP11099,7
DP1110,3
DP11100,10
DP11101,39
DP11102,2
DP11103,NA
DP11104,125
DP11105,1
DP11106,3
DP11107,10
DP11108,9
DP11109,22
DP1111,4
DP11110,6
DP11111,21
DP11112,34
DP11113,NA
DP11114,11
DP11115,28
DP11116,2
DP11117,14
DP11118,NA
DP11119,1
DP1112,2
DP11120,31
DP11121,85
DP11122,2
DP11123,91
DP11124,64
DP11125,6
DP11126,11
DP11127,0
DP11128,2
DP11129,85
DP1113,3
DP11130,21
DP11131,19
DP11132,11
DP11133,2
DP11134,44
DP11135,1
DP11136,1
DP11137,22
DP11138,2
DP11139,4
DP11140,21
DP11141,NA
DP11142,132
