path,size_bytes,size_mb,sha256
core/benchmarks/brodeur_primary.csv,14812109,14.1259,2569db2db2c491a4bc06903020aefa6330553a475a4187fc49db1d8c18e22add
core/benchmarks/brodeur_with_wp.csv,9972624,9.5106,763fd3913dd2994adf0b35d3492c058a953278be8c995cf14cfbe71655351e19
core/benchmarks/plausibly_exogenous.xlsx,240533,0.2294,0bf042dec326942bac5a00352ecd39abeb28ec9083495544ffd6d43db7a8a4c7
core/graph_aggregated/claim_graph_edge_metadata_part01.parquet,12220509,11.6544,562f7d351f73f3dd4b990e0723839245d412378cfd5609972f749906383eb02d
core/graph_aggregated/claim_graph_edge_metadata_part02.parquet,13673175,13.0398,bae7a1c02ba6f88e352d9df2743c030dc18aa54d18151bf8f4ae554f8f59c6ce
core/graph_aggregated/claim_graph_edge_metadata_part03.parquet,14399985,13.7329,ad8f9007f9874838ff65eecc4f9a1851387c98f464520a265864cca35db2cd30
core/graph_runs/graph_edges_run_01_s1i1_s2i1.parquet,10844232,10.3419,0120fda355a411272758e733fe24bde20d9b852e1e046797e83c2e296d888f3a
core/graph_runs/graph_edges_run_02_s1i1_s2i2.parquet,10840084,10.3379,6a9ef7b0ec6dc1fa991d178e962b183a839e16d0e96032f54657e1694be25cee
core/graph_runs/graph_edges_run_03_s1i1_s2i3.parquet,10864825,10.3615,92f5949f49097f292d8cece2ec25c434584401f1b43ba02e67db3c83045f7041
core/graph_runs/graph_edges_run_04_s1i2_s2i1.parquet,10873483,10.3698,e56c26514d31ba74e22199a8df8df9c902995f61629df6883f6aee40ecbd912b
core/graph_runs/graph_edges_run_05_s1i2_s2i2.parquet,10847680,10.3452,ad6e06c60c967181b6281bc5f4eee180546acca3dc486761c5c4367e31103788
core/graph_runs/graph_edges_run_06_s1i2_s2i3.parquet,10860310,10.3572,20641fe37f41d918d1d97933bd674d2ab6184004381b400fb555ec43543d3fc9
core/graph_runs/graph_edges_run_07_s1i3_s2i1.parquet,10848679,10.3461,bdc181263abd0c9f0c9bda3dac4ea2bd7b7370d84201093599318494e033dff4
core/graph_runs/graph_edges_run_08_s1i3_s2i2.parquet,10835666,10.3337,3aacada7cacd779052ca7c5623ae990ce5bc65b7baf76fd5679904f89334b354
core/graph_runs/graph_edges_run_09_s1i3_s2i3.parquet,10846422,10.344,185c5b94090d9c1d24b4f3d0eb6256f9733311794795d3c973415452f76c205a
core/graph_runs/run_index.csv,726,0.0007,ecdf5fbccd0fb65455124652fe09dc97b605b1a0a82901d103193b1c251bbe99
core/paper_level/edge_overlap/paper_level_data_eo_ge1.parquet,14490186,13.8189,3fa4058a990fa33b77293a205bf3d91d649be4e179c03d61cf1078bab597e565
core/paper_level/edge_overlap/paper_level_data_eo_ge2.parquet,12558997,11.9772,296038d01b4f4540aa096a6e520c2b8b4674431888c8d930a26e133a12c0a51f
core/paper_level/edge_overlap/paper_level_data_eo_ge3.parquet,11479933,10.9481,27b589ffd2cca55ecbc8af4e84439d5d4bc41cb2de4a8a93e9a128c813d38a03
core/paper_level/edge_overlap/paper_level_data_eo_ge4.parquet,9332512,8.9002,b82686ebe5d517c9029f0ee8a825337d4f138a3b2318e48b23c84bcd438016ef
core/paper_level/edge_overlap/paper_level_data_eo_ge5.parquet,7543351,7.1939,e959fc1f87350f51ae3ddd92912476b038880181ded8e2aeabe6c6561df571b2
core/paper_level/edge_overlap/paper_level_data_eo_ge6.parquet,5672350,5.4096,3e6efdf1aff2543eb93a474a159b0a48c87bb7f66f2f1aecdaa5a35ee46ae210
core/paper_level/edge_overlap/paper_level_data_eo_ge7.parquet,3709168,3.5373,05cd1bac1c6615d347c9a9287837742526358f33e0b91368921ce818faea2b21
core/paper_level/edge_overlap/paper_level_data_eo_ge8.parquet,2512773,2.3964,05c0f7a0e932fd959fa45b5788ee6efc3a3920641f07bf58c997e00ff052fca5
core/paper_level/edge_overlap/paper_level_data_eo_ge9.parquet,1495165,1.4259,6be164db87814d5cca50b5abc987e58a8c376b73436d5ecbf3a2485214d840c4
core/paper_level/gap_filling_causal.parquet,97640,0.0931,c454578ee8d1fda43fdd6e251c5c6f3c970bfa33eebaa8419cb6d92042cd07ad
core/paper_level/gap_filling_non_causal.parquet,267211,0.2548,913b2587277bcf2bcb22fabf50752f6ee7ffc35d79c2be0610d0d4e930e5a9dc
core/paper_level/paper_level_cites.csv,433323,0.4132,deab4e32451baf7ed1679e35c4827f33bccded55020bb047ebb364dde9f1a542
core/paper_level/paper_level_data_eo_ge4.parquet,7668093,7.3129,047d81aee5a4c788d5e5061aac1600288aefedab6bc193a6bbccd1de9522f167
core/paper_level/stage1_paper_metadata.parquet,7521035,7.1726,8b769bdf56f076f4f485e8d6b0cd6426d19a273a456c5de72c583a9415757ec9
manifest.csv,8034,0.0077,81c0ffed48a8a3f139be5d76bdc01a9e6f74b49d8b9364e19856504c327b509d
README.md,1478,0.0014,8fea799af24fbbf8735b5b1768743cc14fa948dc4f25360f30e6418f30530211
tables/corpus_dedup_summary.csv,217,0.0002,ce0b08761fc04b5636494e07065c0cd9d2949070235645f54f81794851a38386
tables/eo4_field_prepost_exact.csv,881,0.0008,e5c295c7618df310b17f252b8820d84493aedd9c916f28c0957c6ee4f7185351
tables/eo_longestpath_coefficients_exact.csv,1845,0.0018,11591192c7f6f018a5706027cd62b8f9f7193af6eaf6f0c83ab0eb8284016309
tables/eo_regression_grid_coefficients_exact.csv,33826,0.0323,ef2a967c90e77c04b10e461eff38b2a8c42a8affb0b57063845cf14197124aee
tables/main_cross_field_method_eo4.csv,3129,0.003,c23434b2b7d8c98a4240f40689207998174c2f171257179a473ff12f69f08aa8
tables/main_field_prepost_eo4.csv,886,0.0008,cf329bb009893956316a158c50601b23582d462df595b81bbc5f5e62fd91cafa
tables/main_headline_years_eo4.csv,254,0.0002,842344aa09dad5f1497340c165b0e21c30a383ff78ffef9b6edd3ff45d8f7846
tables/main_method_years_eo4.csv,1046,0.001,8aada71075365dc0cbf7cdbf4105cbfdac0972f6198c4a0e84238f4c917547d5
tables/main_text_claim_values_eo4.csv,2040,0.0019,c2727e0d4e235ea7b89e5245bcddbf1724a1eeed3630cd128ce0696ac17b47f8
tables/predictor_pairwise_correlations_eo4.csv,2039,0.0019,fd3a2025cb2d0988c4fb33d81bb572ffb3a3f7efa08e84c96642fd02e9c0a229
tables/predictor_summary_statistics_eo4.csv,1923,0.0018,fd371571f7de6d867caa0ee9e5a376896450e98c005606a61200a27c5f87ca76
tables/publication_predictors_effect_sizes_eo4.csv,14868,0.0142,08b06975d0867f9bbb066f3bf9f1ee0925f195e0a146dcc01e514822d5f8a8ec
tables/publication_predictors_effect_sizes_summary_eo4.csv,5185,0.0049,7881829b79e39f368be9de72425ffb2df950ddaa6ebbf8757eb401e0bfd7f86f
tables/publication_predictors_eo_grid.csv,58075,0.0554,721a8d8fd994e5d826da5aa2c7cccd8ca1580fe7b8662b6761950dabaa1526ae
tables/publication_predictors_main_five_measures.csv,6671,0.0064,664839555273810517d1ed9d49054994794ff8dabe9041f9cff7a3177e5411b9
tables/publication_predictors_main_five_measures_key.csv,5466,0.0052,55e3732f7dd0983ffdb0d061351b7d0904d3aca74cebaa52e47778766140f878
tables/publication_predictors_outcome_baselines_eo4.csv,150,0.0001,743e081c1a52f7f113fd700224644b5ec85ccb30c29c12f3bd25013d8aceafdb
tables/publication_predictors_variants_appendix.csv,9190,0.0088,d9e95bfcab70b53210c540382d8d5a10dac7d7c876bf05f0f54c9f660ca4fb64
tables/trend_composition_robustness_eo4.csv,253,0.0002,0693fb86e8fa1707a07f9ec5a573441411c86a7ce49f0a5042601d6f30568538
tables/validation_brodeur_class_metrics_eo_grid.csv,19155,0.0183,1049d7febf06104267a611fd47818cf89cafe2fd6cbeeb6d129d53a3f9317765
tables/validation_brodeur_match_log.csv,848567,0.8093,52608a86b753c55f712a8ed3d1941eedf400f7fe16c1c1f1f05db507e9ecd7f1
tables/validation_brodeur_metrics.csv,3205,0.0031,11a2a58b4d961406ced6a0708a02b03fbf7ce41ff355e80558f4fa0fa3b46b83
tables/validation_brodeur_threshold_summary.csv,2207,0.0021,28ab3ba4e83aa5ce0932dbc2066f6ec2061ade9d28d34987df496a790edaadb9
tables/validation_perturbation_metrics.csv,1905,0.0018,3ce7d14d4abca8546e7a9dd8b0482d507f12c240330864f2894a965ca73dbdd8
tables/validation_plausibly_baseline_eo_grid.csv,3503,0.0033,04f68e2dea8901eb6a273cb9a2c9068bd463b24620bc9328f0c572332434e4ea
tables/validation_plausibly_coverage.csv,114,0.0001,0c6c62a273e43a3063995377ec6ed546ed8ab793140489de556a9510e99094fa
tables/validation_plausibly_match_log.csv,898078,0.8565,b6f26f7aa9f14d2bfb1538587487e5c1b3dd1400ad33e2a95ff71b4e44004d39
tables/validation_plausibly_metrics.csv,1875,0.0018,b3b749fae8dbf9993e6254dfbfdead11010862fda0e37c5b1bafff3d41ae1685
tables/validation_plausibly_similarity_eo_grid.csv,6232,0.0059,911be213aeed2f087ee29fb5f6fa0812fdc36921092885cd77bb4943c3abde77
tables/validation_snippet_metrics.csv,3227,0.0031,793ce8d6598f3b70fbebf442627e8db625e12a621eaada2cccda519b533a09a0
