field,pre_pct,post_pct,delta_pp
Health,9.65040650406504,41.912514128458405,32.262107624393366
Development,6.9172361427486715,37.200796136778905,30.283559994030234
Urban,9.038461538461538,37.42086793613511,28.38240639767357
Behavioral,6.530054644808743,33.428415810768755,26.89836116596001
Public,5.62847913241614,29.701511900103068,24.07303276768693
Pol. Econ.,2.4798711755233493,26.14348209690464,23.66361092138129
Environmental,1.9900497512437811,25.099545739348372,23.10949598810459
Labour,8.880024420024421,31.089826281389747,22.209801861365328
Econ. History,7.053571428571429,25.15288008207398,18.09930865350255
Finance,6.616660984202749,22.07832093358133,15.461659949378582
IO,4.305771221532091,16.86615882829175,12.560387606759654
Macro,6.32929225470662,12.897038171837098,6.567745917130477
Econometrics,15.316939482129916,21.225635889814995,5.908696407685079
