measure_label,measure_type,outcome,estimate,std_error,ci_low,ci_high,pvalue,n
Share Causal Claims,Causal,In Top 5,0.02731741758063165,0.004826507873410135,0.017857462148747786,0.03677737301251552,1.5273372657394116e-08,33218
Share Causal Claims,Causal,In Top 6-20,0.016296822404212163,0.004302285472979054,0.007864342877173218,0.024729301931251106,0.00015216616335766306,33218
Share Causal Claims,Causal,In Top 21-100,0.023995902662275286,0.0055686411621501865,0.01308136598446092,0.03491043934008965,1.643821623738827e-05,33218
Share Causal Claims,Causal,Citations,0.18998122892528918,0.019686198991513144,0.15139627890192342,0.22856617894865494,5.229826827442408e-22,33218
Log N. Edges,Non-Causal,In Top 5,-0.0135990209495091,0.0031651478823235403,-0.01980271079886324,-0.0073953311001549605,1.740185624930296e-05,33218
Log N. Edges,Non-Causal,In Top 6-20,-0.0047317822717915185,0.002821284711717396,-0.010261500306757614,0.000797935763174577,0.09351809623500215,33218
Log N. Edges,Non-Causal,In Top 21-100,-0.008829334609796338,0.0036517806458564194,-0.01598682467567492,-0.001671844543917756,0.015619310992850664,33218
Log N. Edges,Non-Causal,Citations,-0.027499920034343917,0.012924482235521263,-0.05283190521596559,-0.0021679348527222433,0.03336611260751247,33218
Log N. Edges,Causal,In Top 5,0.019599160737447968,0.0033330737062168365,0.013066336273262969,0.026131985201632967,4.136740799304409e-09,33218
Log N. Edges,Causal,In Top 6-20,0.013956541839380446,0.002970826151723009,0.00813372258200335,0.01977936109675754,2.6394693510125304e-06,33218
Log N. Edges,Causal,In Top 21-100,0.015672095864157933,0.003845834516642194,0.008134260211539233,0.02320993151677663,4.610484071166348e-05,33218
Log N. Edges,Causal,Citations,0.15289397552764436,0.013588516887653045,0.12626048242784438,0.17952746862744434,2.5672814866936993e-29,33218
Log N. New Edges,Non-Causal,In Top 5,-0.005609011833280223,0.0034247318607649336,-0.012321486280379493,0.0011034626138190463,0.10147375842832107,33218
Log N. New Edges,Non-Causal,In Top 6-20,-0.010081841058078845,0.0030515692619732236,-0.01606291681154636,-0.004100765304611327,0.0009547738152202736,33218
Log N. New Edges,Non-Causal,In Top 21-100,-0.006363963505422859,0.003950529348759166,-0.014107001028990825,0.0013790740181451062,0.1072079550754667,33218
Log N. New Edges,Non-Causal,Citations,-0.1708697079529635,0.013950585766061745,-0.19821285605444453,-0.14352655985148247,2.038394975345665e-34,33218
Log N. New Edges,Causal,In Top 5,0.024717514145278095,0.004102600577285303,0.0166764170137989,0.03275861127675729,1.7105671296011185e-09,33218
Log N. New Edges,Causal,In Top 6-20,0.014573139301123856,0.0036571545468183954,0.007405116389359801,0.02174116221288791,6.767267636518303e-05,33218
Log N. New Edges,Causal,In Top 21-100,0.014045912997741158,0.0047344249077078075,0.0047664401786338545,0.02332538581684846,0.0030116810837292267,33218
Log N. New Edges,Causal,Citations,0.14712797196353739,0.016738617755291986,0.11432028116316509,0.17993566276390968,1.569839723512656e-18,33218
Topic Centrality,Non-Causal,In Top 5,0.005965073525964952,0.0019192802653086192,0.002203284205960058,0.009726862845969846,0.0018853367588942372,33218
Topic Centrality,Non-Causal,In Top 6-20,0.005927986308478235,0.0017103048511705285,0.002575788800183999,0.00928018381677247,0.0005288511903194572,33218
Topic Centrality,Non-Causal,In Top 21-100,0.006347814206134192,0.002213991559133768,0.0020083907502320072,0.010687237662036378,0.004144661586162632,33218
Topic Centrality,Non-Causal,Citations,0.1290052866008818,0.007804564001201599,0.11370834115852668,0.14430223204323694,3.9551756744311715e-61,33218
Topic Centrality,Causal,In Top 5,-0.003525081752537753,0.0034515765244194857,-0.010290171740399943,0.0032400082353244387,0.3071216055030031,33218
Topic Centrality,Causal,In Top 6-20,-0.001836316605779458,0.003075902266307281,-0.007865085047741728,0.004192451836182813,0.5505108136098898,33218
Topic Centrality,Causal,In Top 21-100,0.002395557792026547,0.003981531085775085,-0.005408243136092619,0.010199358720145713,0.5473996093528171,33218
Topic Centrality,Causal,Citations,0.0709915975815892,0.014085949836922011,0.04338313590122206,0.09860005926195634,4.6825185803356875e-07,33218
Source-Sink Ratio,Non-Causal,In Top 5,-0.007626626641801477,0.0020800871865549408,-0.01170359752744916,-0.003549655756153793,0.0002462826749283434,33218
Source-Sink Ratio,Non-Causal,In Top 6-20,-0.005153406445638264,0.0018538281256672503,-0.008786909571946075,-0.0015199033193304535,0.005441080707566317,33218
Source-Sink Ratio,Non-Causal,In Top 21-100,-0.005583340335806537,0.00239972915016467,-0.01028680947012929,-0.0008798712014837845,0.019989657293249478,33218
Source-Sink Ratio,Non-Causal,Citations,-0.020968861400201082,0.00849293114518676,-0.03761500644476713,-0.004322716355635033,0.013554948459367992,33218
Source-Sink Ratio,Causal,In Top 5,0.009353846475824875,0.003087087701051026,0.0033031545817648646,0.015404538369884885,0.002447496753820363,33218
Source-Sink Ratio,Causal,In Top 6-20,0.008441880474782459,0.0027510466705262275,0.0030498290005510527,0.013833931949013865,0.0021523285922988734,33218
Source-Sink Ratio,Causal,In Top 21-100,0.008386760035327179,0.003561237181673747,0.001406735159246635,0.015366784911407722,0.018527845820522717,33218
Source-Sink Ratio,Causal,Citations,0.09112822725486029,0.012594898497009415,0.06644222620072184,0.11581422830899875,4.744543661865668e-13,33218
